"Q3_4","Q3_5","Q5","Q16","Q26","Q30","ppage","educ","race","gender","income_cat","voter_category","pols_dont_care","media_greed","election_results_matter","party","vote_freq","income_cat_coded","voter_cat_coded","educ_coded"
4,2,1,3,1,2,66,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,1
1,3,2,1,1,1,53,"College","White","Female","$75-125k","always","Somewhat Disagree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,3,3
1,1,1,1,1,1,60,"High school or less","White","Female","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
3,3,1,1,1,3,68,"College","White","Male","$125k or more","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
1,1,1,1,1,1,78,"Some college","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,2
2,1,1,2,1,2,73,"College","Black","Female","Less than $40k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,3
2,1,1,2,1,2,38,"High school or less","Black","Female","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
4,3,1,1,1,3,69,"College","White","Male","$125k or more","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,3,1,3,1,1,64,"Some college","White","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
1,1,1,1,1,1,68,"Some college","White","Male","$125k or more","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,1,2
4,3,1,2,1,2,73,"High school or less","White","Female","$40-75k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,1
1,1,1,3,1,3,35,"Some college","Black","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,2
1,2,2,1,1,4,36,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Another Party","Always/Almost Always",3,2,3
1,2,1,1,1,3,65,"College","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,1,1,3,1,2,75,"Some college","Hispanic","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,2
1,4,1,2,2,1,59,"Some college","White","Female","Less than $40k","rarely/never","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Sometimes",1,1,2
2,2,1,1,1,2,62,"Some college","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,2,1,1,1,1,71,"Some college","White","Female","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,1,2
4,4,1,3,2,3,66,"High school or less","Hispanic","Male","Less than $40k","sporadic","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Sometimes",1,2,1
2,2,1,1,1,3,56,"Some college","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
1,1,1,1,1,2,29,"Some college","Black","Male","Less than $40k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,2
1,2,1,1,1,1,59,"College","White","Female","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
2,1,1,1,1,3,66,"Some college","White","Male","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,2
2,2,2,1,1,2,55,"Some college","Hispanic","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,2
1,2,1,1,1,3,60,"Some college","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,2
3,3,1,2,1,2,32,"College","White","Female","$125k or more","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
1,1,1,3,4,5,28,"Some college","Black","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Never",1,1,2
3,4,1,1,4,2,65,"College","Hispanic","Male","$40-75k","rarely/never","Strongly Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Never",2,1,3
2,3,1,1,1,2,44,"Some college","Hispanic","Male","$75-125k","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
2,2,1,2,3,3,35,"High school or less","White","Male","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Rarely",2,1,1
3,2,1,1,1,3,68,"College","White","Female","$125k or more","rarely/never","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,1,3
3,2,2,1,1,2,29,"Some college","White","Male","$75-125k","always","Somewhat Agree","Somewhat Disagree","Things will be pretty much the same","Democrat","Always/Almost Always",3,3,2
2,2,2,1,1,2,63,"Some college","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,2
2,1,1,1,1,2,63,"Some college","White","Female","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
3,3,1,1,1,2,70,"College","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
2,3,1,1,1,2,75,"College","White","Female","$75-125k","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,3,1,1,1,1,49,"Some college","White","Male","$40-75k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,2
1,2,1,1,1,1,38,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
1,1,1,2,1,4,32,"College","Other/Mixed","Male","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Another Party","Always/Almost Always",3,2,3
4,4,1,1,1,3,79,"College","White","Male","$40-75k","always","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
2,2,1,1,1,3,76,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,1
2,1,1,1,1,2,67,"High school or less","Hispanic","Male","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
2,2,1,1,1,3,50,"Some college","Hispanic","Female","$125k or more","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,2
2,2,1,1,1,3,79,"College","Black","Male","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,1,1,1,1,2,72,"High school or less","Other/Mixed","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,1
1,2,1,1,3,1,68,"High school or less","White","Female","$75-125k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Rarely",3,1,1
2,2,1,2,1,3,25,"Some college","Hispanic","Male","Less than $40k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,3,2
3,3,1,3,1,2,55,"Some college","White","Male","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,2
3,3,1,2,1,2,65,"College","White","Female","$75-125k","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,1,2,3,2,2,65,"High school or less","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Sometimes",2,3,1
2,2,1,2,1,-1,54,"College","Other/Mixed","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters",NA,"Always/Almost Always",2,3,3
2,2,1,2,4,5,54,"High school or less","White","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Never",1,1,1
3,2,1,1,1,3,64,"Some college","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,2
4,4,1,1,2,2,53,"High school or less","Hispanic","Female","Less than $40k","sporadic","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Sometimes",1,2,1
2,2,1,2,1,2,77,"High school or less","Hispanic","Male","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,1,1
3,3,2,1,4,3,25,"High school or less","Hispanic","Female","$40-75k","rarely/never","Somewhat Disagree","Somewhat Disagree","Things will be pretty much the same","Independent","Never",2,1,1
3,2,1,1,1,2,49,"Some college","Black","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,4,1,1,1,1,65,"Some college","Other/Mixed","Female","$125k or more","sporadic","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,2
1,1,2,4,4,5,43,"High school or less","White","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",1,1,1
4,4,1,3,1,2,48,"College","White","Female","$40-75k","always","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,3
1,2,1,1,2,3,57,"College","Other/Mixed","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Sometimes",3,2,3
1,3,1,2,1,1,53,"High school or less","White","Female","$40-75k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
1,1,1,1,1,5,66,"High school or less","White","Female","Less than $40k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",1,3,1
2,2,1,1,1,3,61,"Some college","Hispanic","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
2,2,1,1,1,2,64,"High school or less","Hispanic","Female","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,1,1
1,2,1,1,1,3,88,"High school or less","White","Female","$75-125k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,1
3,1,1,2,3,2,34,"Some college","White","Male","$40-75k","rarely/never","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Rarely",2,1,2
3,1,1,2,3,2,35,"Some college","White","Female","$125k or more","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Rarely",4,2,2
1,1,2,4,4,2,64,"High school or less","Black","Female","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Never",1,2,1
1,3,1,1,1,4,29,"College","White","Male","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Another Party","Always/Almost Always",2,3,3
2,2,1,1,1,3,77,"High school or less","Hispanic","Male","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,1
1,2,1,1,1,3,23,"College","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
2,1,1,1,2,3,43,"Some college","White","Male","$40-75k","rarely/never","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Sometimes",2,1,2
2,3,1,2,1,2,56,"Some college","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,2
1,2,1,2,1,1,29,"High school or less","White","Female","$40-75k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
1,2,1,1,1,3,69,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
4,4,2,1,4,1,46,"Some college","White","Male","$40-75k","rarely/never","Strongly Disagree","Strongly Disagree","Things will be pretty much the same","Republican","Never",2,1,2
2,1,2,2,4,1,39,"College","White","Male","$125k or more","rarely/never","Strongly Agree","Somewhat Agree","Things will be pretty much the same","Republican","Never",4,1,3
1,1,1,3,1,1,61,"College","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,3
1,1,2,3,2,2,25,"College","Hispanic","Female","Less than $40k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Sometimes",1,3,3
1,4,1,1,1,1,58,"College","White","Male","$75-125k","always","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,3,-1,2,1,2,46,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Disagree","Somewhat Agree",NA,"Democrat","Always/Almost Always",1,2,1
1,2,1,3,3,2,33,"Some college","Hispanic","Female","$75-125k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Democrat","Rarely",3,1,2
3,2,1,1,1,1,57,"College","White","Male","$40-75k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,3
3,1,2,1,1,4,49,"Some college","White","Male","$40-75k","always","Strongly Agree","Somewhat Disagree","Things will be pretty much the same","Another Party","Always/Almost Always",2,3,2
1,4,1,1,2,1,49,"Some college","Hispanic","Male","Less than $40k","sporadic","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Sometimes",1,2,2
3,3,1,1,1,2,72,"Some college","Hispanic","Male","$75-125k","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,1,1,1,1,3,70,"High school or less","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,1
1,2,2,1,1,5,37,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","No Preference","Always/Almost Always",3,2,3
3,3,1,1,1,3,67,"College","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,3,1,1,2,1,68,"Some college","Hispanic","Female","Less than $40k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Sometimes",1,3,2
2,2,1,1,1,1,89,"High school or less","White","Male","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,1
2,3,1,1,1,2,43,"Some college","White","Male","$40-75k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
2,1,1,1,1,2,63,"Some college","White","Female","$40-75k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
2,2,1,2,1,1,70,"College","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,3
1,1,1,2,1,1,66,"High school or less","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
4,3,1,2,1,3,85,"Some college","White","Male","$125k or more","rarely/never","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,1,2
2,1,1,2,1,1,63,"High school or less","White","Male","Less than $40k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,1
1,1,1,1,1,2,72,"College","Hispanic","Male","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,2,1,1,1,1,74,"College","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
1,2,2,1,1,3,87,"College","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",4,3,3
2,2,2,3,4,5,52,"High school or less","White","Male","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Never",2,1,1
2,3,1,2,1,3,81,"Some college","Black","Male","$75-125k","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,2
1,2,1,1,1,1,62,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
1,1,2,1,1,1,65,"Some college","White","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",1,1,2
2,3,1,1,1,1,61,"Some college","White","Female","$75-125k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,2
1,1,1,2,1,2,50,"College","Hispanic","Male","$125k or more","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
1,1,2,1,1,3,63,"College","Other/Mixed","Male","$125k or more","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",4,3,3
2,1,1,1,1,2,22,"High school or less","Hispanic","Female","$40-75k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,1
3,3,1,3,1,2,57,"College","Other/Mixed","Female","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
1,1,1,2,1,3,57,"Some college","White","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,2
2,2,1,1,1,1,76,"High school or less","White","Male","Less than $40k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,1
1,1,1,1,1,1,38,"Some college","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,2
2,3,1,1,1,3,61,"High school or less","White","Male","$75-125k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,1
1,2,1,2,3,5,29,"High school or less","White","Male","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","No Preference","Rarely",1,1,1
3,4,1,1,1,2,34,"College","White","Male","$125k or more","sporadic","Strongly Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
2,2,2,2,4,5,61,"High school or less","Black","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Never",1,1,1
2,2,1,1,1,2,68,"Some college","Black","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
3,2,1,1,1,3,72,"College","White","Female","$125k or more","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,2,1,1,1,1,72,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
2,1,1,2,1,2,25,"College","Hispanic","Female","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,1,1,4,1,2,24,"College","Hispanic","Male","Less than $40k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,3
2,2,2,4,3,3,45,"College","White","Male","$125k or more","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Independent","Rarely",4,1,3
2,2,2,2,3,2,42,"High school or less","Hispanic","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Rarely",3,2,1
1,2,1,3,3,3,27,"College","Other/Mixed","Male","$40-75k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Rarely",2,1,3
1,3,1,1,1,1,48,"Some college","Hispanic","Female","$75-125k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,2
1,2,1,3,1,1,79,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
1,1,1,3,1,1,55,"High school or less","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
4,3,1,2,1,2,44,"College","White","Male","$125k or more","rarely/never","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,1,3
1,2,2,1,2,5,42,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","No Preference","Sometimes",3,2,1
1,3,1,2,1,3,77,"Some college","White","Female","Less than $40k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,2
1,4,1,1,1,1,53,"College","Hispanic","Male","$125k or more","sporadic","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,3
3,1,1,1,1,3,33,"High school or less","White","Male","$75-125k","rarely/never","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,1,1
1,1,1,3,2,2,28,"Some college","White","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Sometimes",1,1,2
3,2,1,3,1,2,55,"Some college","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
2,3,1,2,1,3,44,"College","Other/Mixed","Male","$125k or more","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
1,1,2,1,1,2,37,"College","Black","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,3
4,3,1,1,1,2,71,"High school or less","Hispanic","Female","$40-75k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,1
1,1,2,3,4,5,33,"High school or less","Hispanic","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",1,1,1
4,3,1,2,1,2,60,"High school or less","White","Female","$75-125k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,1
1,2,2,1,1,5,56,"Some college","White","Male","Less than $40k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","No Preference","Always/Almost Always",1,2,2
2,3,1,1,1,3,67,"College","White","Male","$75-125k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
1,2,1,2,1,3,40,"Some college","White","Male","$125k or more","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,1,2
1,1,1,1,1,1,66,"College","White","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,2,1,3,1,3,58,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
2,2,1,1,1,2,69,"College","White","Male","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,2,1,2,1,3,69,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,1
2,1,1,1,1,3,26,"Some college","Hispanic","Male","$40-75k","rarely/never","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,1,2
2,2,1,1,1,3,72,"College","White","Male","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,3,1,1,1,1,72,"Some college","White","Female","$125k or more","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,2
2,1,1,1,1,3,67,"High school or less","White","Male","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,1
2,1,1,2,1,2,65,"Some college","White","Male","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,2
1,1,2,1,1,2,68,"Some college","Hispanic","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",1,1,2
4,3,1,3,1,3,62,"College","Black","Male","$125k or more","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,3,1,1,1,3,68,"College","White","Female","$40-75k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,3
1,2,1,1,1,5,31,"College","Hispanic","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",2,3,3
3,2,1,4,1,3,28,"College","Hispanic","Male","$125k or more","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
2,2,1,1,1,2,35,"College","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,3
2,2,1,3,4,5,34,"Some college","White","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Never",1,1,2
3,2,1,2,1,2,67,"College","White","Male","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,3
2,2,1,1,4,4,38,"Some college","Black","Female","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Another Party","Never",2,1,2
1,1,2,1,1,3,43,"College","Black","Male","$125k or more","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",4,3,3
2,2,1,1,1,1,69,"College","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
3,2,2,3,4,4,26,"Some college","Hispanic","Female","$40-75k","rarely/never","Somewhat Agree","Somewhat Disagree","Things will be pretty much the same","Another Party","Never",2,1,2
1,1,1,2,1,2,46,"College","White","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,3
3,2,1,2,1,2,67,"High school or less","Black","Female","Less than $40k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,1
1,2,1,1,1,1,83,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
3,2,2,2,1,4,55,"Some college","White","Male","$40-75k","always","Somewhat Agree","Somewhat Disagree","Things will be pretty much the same","Another Party","Always/Almost Always",2,3,2
